Prov_Name,age,sex,total,lower,upper
ENGA,35 to 39,m,19373.93668,16544.97378,22861.02291
ENGA,35 to 39,f,21074.74826,17997.43455,24867.96106
ENGA,40 to 44,m,17677.15546,15095.95486,20858.84055
ENGA,40 to 44,f,16987.96403,14507.39848,20045.60258
ENGA,45 to 49,m,13243.76033,11309.91967,15627.48519
ENGA,45 to 49,f,12006.44006,10253.27166,14167.46147
ENGA,50 to 54,m,11244.70217,9602.76198,13268.6195
ENGA,50 to 54,f,9507.61735,8119.32456,11218.87935
ENGA,55 to 59,m,6283.32999,5365.84442,7414.25728
ENGA,55 to 59,f,5142.73834,4391.80082,6068.37222
ENGA,60 to 64,m,7490.42257,6396.67855,8838.61267
ENGA,60 to 64,f,6192.64691,5288.40279,7307.25228
ENGA,65 to 69,m,4628.86754,3952.96492,5462.01057
ENGA,65 to 69,f,3093.30069,2641.62001,3650.05931
ENGA,70 to 74,m,3711.96082,3169.94401,4380.07117
ENGA,70 to 74,f,2059.51355,1758.78544,2430.20235
ENGA,75 to 79,m,1636.32584,1397.39117,1930.8457
ENGA,75 to 79,f,878.61831,750.32334,1036.75952
ENGA,80 +,m,1805.60092,1541.94888,2130.58836
ENGA,80 +,f,1023.71124,874.22994,1207.96751
GULF,< 1,m,3443.62064,2941.75898,4022.88623
GULF,< 1,f,3065.89016,2619.07767,3581.61615
GULF,1 to 4,m,8657.10212,7395.44525,10113.34887
GULF,1 to 4,f,8081.83061,6904.01187,9441.30857
GULF,5 to 9,m,15297.41711,13068.02313,17870.65855
GULF,5 to 9,f,13694.39835,11698.62293,15997.98942
GULF,10 to 14,m,13476.83627,11512.76761,15743.83033
GULF,10 to 14,f,11600.1965,9909.62299,13551.51326
GULF,15 to 19,m,13502.19627,11534.43173,15773.45624
GULF,15 to 19,f,11896.50804,10162.75109,13897.66859
GULF,20 to 24,m,10396.26401,8881.14756,12145.06234
GULF,20 to 24,f,9459.27886,8080.71546,11050.46306
GULF,25 to 29,m,8854.64315,7564.19732,10344.11909
GULF,25 to 29,f,8610.38633,7355.53767,10058.77483
GULF,30 to 34,m,7313.02228,6247.24708,8543.17583
GULF,30 to 34,f,6650.99288,5681.69961,7769.78375
GULF,35 to 39,m,6697.70867,5721.6072,7824.35779
GULF,35 to 39,f,6153.1361,5256.3988,7188.18043
GULF,40 to 44,m,4897.14888,4183.45492,5720.91844
GULF,40 to 44,f,4159.0395,3552.91511,4858.64864
GULF,45 to 49,m,4393.95316,3753.59324,5133.07809
GULF,45 to 49,f,3414.25643,2916.67421,3988.58255
GULF,50 to 54,m,3151.31331,2692.05153,3681.40868
GULF,50 to 54,f,2546.67759,2175.53339,2975.0647
GULF,55 to 59,m,2307.75972,1971.4346,2695.95748
GULF,55 to 59,f,1825.91978,1559.81639,2133.06526
GULF,60 to 64,m,1651.06928,1410.44801,1928.80243
GULF,60 to 64,f,1488.2314,1271.34158,1738.57292
GULF,65 to 69,m,1141.19986,974.88524,1333.16579
GULF,65 to 69,f,1007.72619,860.86358,1177.23996
GULF,70 to 74,m,612.64414,523.35945,715.69953
GULF,70 to 74,f,600.63151,513.0975,701.6662
GULF,75 to 79,m,343.02733,293.03568,400.72936
GULF,75 to 79,f,309.65891,264.53026,361.74791
GULF,80 +,m,369.72206,315.84001,431.91453
GULF,80 +,f,316.33259,270.23135,369.5442
HELA,< 1,m,10878.36622,9310.589,12725.4922
HELA,< 1,f,10110.55211,8653.43135,11827.30471
HELA,1 to 4,m,31792.3027,27210.43381,37190.57549
HELA,1 to 4,f,29569.84079,25308.27046,34590.74375
HELA,5 to 9,m,59217.66269,50683.2835,69272.70966
HELA,5 to 9,f,51581.5115,44147.64534,60339.95446
HELA,10 to 14,m,52700.240640000004,45105.14457,61648.64169
HELA,10 to 14,f,43087.56798,36877.83887,50403.75542
HELA,15 to 19,m,49982.89854,42779.42258,58469.90005
HELA,15 to 19,f,42196.78365,36115.43332,49361.7176
HELA,20 to 24,m,34098.74428,29184.47377,39888.64648
HELA,20 to 24,f,32638.09792,27934.33403,38179.98514
HELA,25 to 29,m,27251.40211,23323.96241,31878.63857
HELA,25 to 29,f,33303.93672,28504.21292,38958.8821
HELA,30 to 34,m,28118.19225,24065.83179,32892.60804
HELA,30 to 34,f,35892.31004,30719.55296,41986.75631
HELA,35 to 39,m,21990.67579,18821.40572,25724.65089
HELA,35 to 39,f,26105.6795,22343.35999,30538.37444
HELA,40 to 44,m,22599.52838,19342.5112,26436.8855
HELA,40 to 44,f,22458.56251,19221.86116,26271.98389
HELA,45 to 49,m,14267.54566,12211.32393,16690.14789
HELA,45 to 49,f,14288.54057,12229.29308,16714.7077
HELA,50 to 54,m,14147.5747,12108.64304,16549.80609
HELA,50 to 54,f,12842.89058,10991.98845,15023.58908
HELA,55 to 59,m,6031.53969,5162.28136,7055.68371
HELA,55 to 59,f,5482.67258,4692.51632,6413.62
HELA,60 to 64,m,8766.87743,7503.40547,10255.47662
HELA,60 to 64,f,7537.17516,6450.92643,8816.97323
HELA,65 to 69,m,3722.09884,3185.67437,4354.10417
HELA,65 to 69,f,3275.20703,2803.18809,3831.33098
HELA,70 to 74,m,2828.31523,2420.7018,3308.5578
HELA,70 to 74,f,2033.50766,1740.44095,2378.79341
HELA,75 to 79,m,1049.74584,898.45772,1227.9907
HELA,75 to 79,f,794.80757,680.26085,929.76439
HELA,80 +,m,1490.6391,1275.80996,1743.74679
HELA,80 +,f,1007.75601,862.51941,1178.87107
JIWAKA,< 1,m,5294.391,4834.90091,5814.74831
JIWAKA,< 1,f,4923.78363,4496.45784,5407.71593
JIWAKA,1 to 4,m,16494.54911,15063.01866,18115.70991
JIWAKA,1 to 4,f,15223.89527,13902.64244,16720.17031
JIWAKA,5 to 9,m,31346.57643,28626.06687,34427.46338
JIWAKA,5 to 9,f,27949.34221,25523.67212,30696.33321
JIWAKA,10 to 14,m,31178.92072,28472.96167,34243.32968
JIWAKA,10 to 14,f,25598.38049,23376.74588,28114.30807
JIWAKA,15 to 19,m,29676.32213,27100.77075,32593.04873
JIWAKA,15 to 19,f,26783.31562,24458.84275,29415.70412
JIWAKA,20 to 24,m,22000.71575,20091.3156,24163.04815
JIWAKA,20 to 24,f,21081.76074,19252.11494,23153.77398
JIWAKA,25 to 29,m,18017.3168,16453.62825,19788.14228
JIWAKA,25 to 29,f,21241.85304,19398.31314,23329.60089
JIWAKA,30 to 34,m,15071.36638,13763.35125,16552.65018
JIWAKA,30 to 34,f,17983.28143,16422.54675,19750.76175
JIWAKA,35 to 39,m,14351.58132,13106.03496,15762.12131
JIWAKA,35 to 39,f,16036.96246,14645.14508,17613.14952
JIWAKA,40 to 44,m,12432.99487,11353.95896,13654.96728
JIWAKA,40 to 44,f,11861.95698,10832.48037,13027.80514
JIWAKA,45 to 49,m,11161.08046,10192.43158,12258.04322
JIWAKA,45 to 49,f,9314.34645,8505.9721,10229.80363
JIWAKA,50 to 54,m,8556.74431,7814.1208,9397.74084
JIWAKA,50 to 54,f,6805.81357,6215.15,7474.7205
JIWAKA,55 to 59,m,4290.97785,3918.57207,4712.71506
JIWAKA,55 to 59,f,3645.56637,3329.17462,4003.86955
JIWAKA,60 to 64,m,5405.3211,4936.20359,5936.58113
JIWAKA,60 to 64,f,4325.01322,3949.65357,4750.09558
JIWAKA,65 to 69,m,3161.50777,2887.12654,3472.23542
JIWAKA,65 to 69,f,2437.941,2226.35675,2677.55315
JIWAKA,70 to 74,m,2431.63815,2220.60092,2670.63083
JIWAKA,70 to 74,f,1559.32421,1423.99343,1712.58182
JIWAKA,75 to 79,m,1179.89285,1077.4922,1295.85819
JIWAKA,75 to 79,f,690.79197,630.83945,758.68621
JIWAKA,80 +,m,1187.45627,1084.3992,1304.16498
JIWAKA,80 +,f,792.89808,724.08397,870.82778
MADANG,< 1,m,15132.04605,14085.84079,16337.26236
MADANG,< 1,f,13830.17586,12873.97981,14931.70261
MADANG,1 to 4,m,31599.82596,29415.06496,34116.64526
MADANG,1 to 4,f,29210.55553,27190.98484,31537.07752
MADANG,5 to 9,m,55242.94241,51423.53449,59642.85601
MADANG,5 to 9,f,49824.75435,46379.95121,53793.12759
MADANG,10 to 14,m,54989.59195,51187.70027,59369.32704
MADANG,10 to 14,f,46909.96985,43666.69021,50646.19036
MADANG,15 to 19,m,51443.93972,47887.18871,55541.2756
MADANG,15 to 19,f,44568.35941,41486.97494,48118.07856
MADANG,20 to 24,m,43631.46439,40614.85533,47106.56302
MADANG,20 to 24,f,39429.86023,36703.7433,42570.31529
MADANG,25 to 29,m,39005.93718,36309.1296,42112.6282
MADANG,25 to 29,f,37830.74222,35215.18573,40843.83294
MADANG,30 to 34,m,29769.93328,27711.68811,32141.00782
MADANG,30 to 34,f,28104.34213,26161.25325,30342.75797
MADANG,35 to 39,m,26165.33316,24356.30424,28249.31349
MADANG,35 to 39,f,24759.36353,23047.54108,26731.36313
MADANG,40 to 44,m,19435.24124,18091.52001,20983.1925
MADANG,40 to 44,f,16467.77991,15329.22417,17779.3829
MADANG,45 to 49,m,17496.23227,16286.571,18889.74802
MADANG,45 to 49,f,15024.18397,13985.43613,16220.80943
MADANG,50 to 54,m,12311.32731,11460.142,13291.88291
MADANG,50 to 54,f,9963.44582,9274.58925,10757.00059
MADANG,55 to 59,m,8797.03033,8188.81785,9497.68406
MADANG,55 to 59,f,7067.47447,6578.84069,7630.37492
MADANG,60 to 64,m,7231.77601,6731.78268,7807.76252
MADANG,60 to 64,f,5707.91061,5313.27488,6162.5264
MADANG,65 to 69,m,4511.39408,4199.48358,4870.71137
MADANG,65 to 69,f,3275.99704,3049.49989,3536.91913
MADANG,70 to 74,m,2539.77565,2364.17966,2742.0602
MADANG,70 to 74,f,1695.69219,1578.45477,1830.74834
MADANG,75 to 79,m,1497.52698,1393.99038,1616.79994
MADANG,75 to 79,f,1020.9271,950.34185,1102.24049
MADANG,80 +,m,1325.70018,1234.04341,1431.28772
MADANG,80 +,f,988.31764,919.98695,1067.0338
MANUS,< 1,m,1421.69536,777.61026,2346.03207
MANUS,< 1,f,1327.43218,726.05209,2190.48226
MANUS,1 to 4,m,2976.39219,1627.96699,4911.53853
MANUS,1 to 4,f,2765.91413,1512.84394,4564.21498
MANUS,5 to 9,m,5203.84404,2846.29369,8587.20185
MANUS,5 to 9,f,4568.53604,2498.80573,7538.83874
MANUS,10 to 14,m,4999.82237,2734.70203,8250.5324
MANUS,10 to 14,f,4259.92097,2330.00568,7029.57293
MANUS,15 to 19,m,4432.95201,2424.64671,7315.10272
